query_set,system,query_id,query_type,query,matching,expected_document,expected_module,expected_section,top1_document,top1_module,top1_section,first_relevant_rank,result
Deutsch n=25,Dense,q08,broad_topic,Welches Modul behandelt reguläre Sprachen und endliche Automaten?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P7,Inhalte,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P7,Inhalte,1,gefunden
Deutsch n=25,Dense,q09,language,Welche Unterrichtssprache hat P1 Einführung in die Programmierung?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P1,Unterrichtssprache,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P1,Unterrichtssprache,1,gefunden
Deutsch n=25,Dense,q10,broad_topic,Welche Wahlpflichtmodule gibt es zu Morphologie und Lexikographie?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP1,Inhalte;header,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP1,Art des Moduls,,nicht gefunden
Deutsch n=25,Dense,q11,numerical,Wie viele ECTS hat P13 Abschlussmodul?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P13,Zugeordnete Modulteile,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P13,Voraussetzung für die Vergabe,2,gefunden
Deutsch n=25,Dense,q12,exam,Welche Prüfungsform hat P13 Abschlussmodul?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P13,Form der Modulprüfung,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P13,Voraussetzung für die Vergabe,,nicht gefunden
Deutsch n=25,Dense,q13,responsible_person,Wer ist für WP4 Angewandtes Programmieren in der Computerlinguistik verantwortlich?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP4,Modulverantwortliche/r,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP4,header,,nicht gefunden
Deutsch n=25,Dense,q14,semester,In welchem Semester wird P10 Statistische Methoden in der Sprachverarbeitung empfohlen?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P10,Zeitpunkt im Studienverlauf,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P10,Qualifikationsziele,2,gefunden
Deutsch n=25,Dense,q15,content,Welche Inhalte behandelt P8 Computerlinguistische Anwendungen und Korpusbearbeitung?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P8,Inhalte,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P8,header,,nicht gefunden
Deutsch n=25,Dense,q16,exam,Welche Prüfungsform hat P11 Informationsextraktion?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P11,Form der Modulprüfung,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P11,Qualifikationsziele,,nicht gefunden
Deutsch n=25,Dense,q17,responsible_person,Wer ist Modulverantwortlicher für P1 Einführung in die Programmierung?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P1,Modulverantwortliche/r,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P1,header,,nicht gefunden
Deutsch n=25,Dense,q18,prerequisite,Welche Teilnahmevoraussetzung hat WP3 Information Retrieval?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Teilnahmevoraussetzung,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Teilnahmevoraussetzung,1,gefunden
Deutsch n=25,Dense,q19,broad_topic,Welche Module behandeln maschinelles Lernen?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P8,Inhalte,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P8,Qualifikationsziele,,nicht gefunden
Deutsch n=25,Dense,q20,broad_topic,In welchem Modul geht es um Syntax natürlicher Sprachen?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P6,Inhalte;header,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P6,Inhalte,1,gefunden
Deutsch n=25,Dense,q21,exam,Welche Prüfungsform hat WP1 Computergestützte Morphologie und Lexikographie?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP1,Form der Modulprüfung,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP1,Art der Bewertung,,nicht gefunden
Deutsch n=25,Dense,q22,responsible_person,Wer ist Modulverantwortlicher für WP2 Höhere Programmiersprache?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP2,Modulverantwortliche/r,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP2,Englischer Modultitel,,nicht gefunden
Deutsch n=25,Dense,q23,numerical,Wie viele ECTS hat P4 Mathematische Grundlagen der Computerlinguistik?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P4,Zugeordnete Modulteile,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P4,Voraussetzung für die Vergabe,,nicht gefunden
Deutsch n=25,Dense,q24,content,Welche Inhalte behandelt P5 Symbolische Programmiersprache?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P5,Inhalte,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P5,Englischer Modultitel,,nicht gefunden
Deutsch n=25,Dense,q25,language,Welche Unterrichtssprache hat WP3 Information Retrieval?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Unterrichtssprache,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Unterrichtssprache,1,gefunden
Deutsch n=25,Hybrid_alpha_0.50,q01,numerical,Wie viele ECTS hat WP3 Information Retrieval?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Zugeordnete Modulteile,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Zugeordnete Modulteile,1,gefunden
Deutsch n=25,Hybrid_alpha_0.50,q02,exam,Welche Prüfungsform hat WP3 Information Retrieval?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Form der Modulprüfung,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Form der Modulprüfung,1,gefunden
Deutsch n=25,Hybrid_alpha_0.50,q03,responsible_person,Wer ist modulverantwortlich für P10 Statistische Methoden in der Sprachverarbeitung?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P10,Modulverantwortliche/r,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P10,Modulverantwortliche/r,1,gefunden
Deutsch n=25,Hybrid_alpha_0.50,q04,semester,In welchem Semester wird P8 empfohlen?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P8,Zeitpunkt im Studienverlauf,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P8,Zeitpunkt im Studienverlauf,1,gefunden
Deutsch n=25,Hybrid_alpha_0.50,q05,content,Welche Inhalte behandelt P11 Informationsextraktion?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P11,Inhalte,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P11,Inhalte,1,gefunden
Deutsch n=25,Hybrid_alpha_0.50,q06,prerequisite,Welche Teilnahmevoraussetzungen hat P4 Mathematische Grundlagen der Computerlinguistik?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P4,Teilnahmevoraussetzung,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P4,Teilnahmevoraussetzung,1,gefunden
Deutsch n=25,Hybrid_alpha_0.50,q07,broad_topic,Welche Module behandeln Informationssuche und Suchmaschinen?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Inhalte,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Qualifikationsziele,2,gefunden
Deutsch n=25,Hybrid_alpha_0.50,q08,broad_topic,Welches Modul behandelt reguläre Sprachen und endliche Automaten?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P7,Inhalte,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P7,Inhalte,1,gefunden
Deutsch n=25,Hybrid_alpha_0.50,q09,language,Welche Unterrichtssprache hat P1 Einführung in die Programmierung?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P1,Unterrichtssprache,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P1,Unterrichtssprache,1,gefunden
Deutsch n=25,Hybrid_alpha_0.50,q10,broad_topic,Welche Wahlpflichtmodule gibt es zu Morphologie und Lexikographie?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP1,Inhalte;header,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP1,Wahlpflichtregelungen,3,gefunden
Deutsch n=25,Hybrid_alpha_0.50,q11,numerical,Wie viele ECTS hat P13 Abschlussmodul?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P13,Zugeordnete Modulteile,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P13,Zugeordnete Modulteile,1,gefunden
Deutsch n=25,Hybrid_alpha_0.50,q12,exam,Welche Prüfungsform hat P13 Abschlussmodul?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P13,Form der Modulprüfung,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P7,Form der Modulprüfung,,nicht gefunden
Deutsch n=25,Hybrid_alpha_0.50,q13,responsible_person,Wer ist für WP4 Angewandtes Programmieren in der Computerlinguistik verantwortlich?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP4,Modulverantwortliche/r,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP4,Modulverantwortliche/r,1,gefunden
Deutsch n=25,Hybrid_alpha_0.50,q14,semester,In welchem Semester wird P10 Statistische Methoden in der Sprachverarbeitung empfohlen?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P10,Zeitpunkt im Studienverlauf,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P10,Zeitpunkt im Studienverlauf,1,gefunden
Deutsch n=25,Hybrid_alpha_0.50,q15,content,Welche Inhalte behandelt P8 Computerlinguistische Anwendungen und Korpusbearbeitung?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P8,Inhalte,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P8,Inhalte,1,gefunden
Deutsch n=25,Hybrid_alpha_0.50,q16,exam,Welche Prüfungsform hat P11 Informationsextraktion?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P11,Form der Modulprüfung,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P11,Qualifikationsziele,2,gefunden
Deutsch n=25,Hybrid_alpha_0.50,q17,responsible_person,Wer ist Modulverantwortlicher für P1 Einführung in die Programmierung?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P1,Modulverantwortliche/r,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P1,Modulverantwortliche/r,1,gefunden
Deutsch n=25,Hybrid_alpha_0.50,q18,prerequisite,Welche Teilnahmevoraussetzung hat WP3 Information Retrieval?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Teilnahmevoraussetzung,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Teilnahmevoraussetzung,1,gefunden
Deutsch n=25,Hybrid_alpha_0.50,q19,broad_topic,Welche Module behandeln maschinelles Lernen?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P8,Inhalte,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P1,Qualifikationsziele,,nicht gefunden
Deutsch n=25,Hybrid_alpha_0.50,q20,broad_topic,In welchem Modul geht es um Syntax natürlicher Sprachen?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P6,Inhalte;header,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P6,Unterrichtssprache,2,gefunden
Deutsch n=25,Hybrid_alpha_0.50,q21,exam,Welche Prüfungsform hat WP1 Computergestützte Morphologie und Lexikographie?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP1,Form der Modulprüfung,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP1,header,3,gefunden
Deutsch n=25,Hybrid_alpha_0.50,q22,responsible_person,Wer ist Modulverantwortlicher für WP2 Höhere Programmiersprache?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP2,Modulverantwortliche/r,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP2,Unterrichtssprache,2,gefunden
Deutsch n=25,Hybrid_alpha_0.50,q23,numerical,Wie viele ECTS hat P4 Mathematische Grundlagen der Computerlinguistik?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P4,Zugeordnete Modulteile,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P4,Voraussetzung für die Vergabe,2,gefunden
Deutsch n=25,Hybrid_alpha_0.50,q24,content,Welche Inhalte behandelt P5 Symbolische Programmiersprache?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P5,Inhalte,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P5,Unterrichtssprache,3,gefunden
Deutsch n=25,Hybrid_alpha_0.50,q25,language,Welche Unterrichtssprache hat WP3 Information Retrieval?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Unterrichtssprache,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Unterrichtssprache,1,gefunden
Mehrsprachig n=18,BM25_domain,m01_de,exam,Welche Prüfungsform hat WP3 Information Retrieval?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Form der Modulprüfung,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Form der Modulprüfung,1,gefunden
Mehrsprachig n=18,BM25_domain,m01_en,exam,What is the exam type for WP3 Information Retrieval?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Form der Modulprüfung,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Form der Modulprüfung,1,gefunden
Mehrsprachig n=18,BM25_domain,m01_tr,exam,WP3 Information Retrieval dersinin sınav şekli nedir?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Form der Modulprüfung,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Form der Modulprüfung,1,gefunden
Mehrsprachig n=18,BM25_domain,m02_de,numerical,Wie viele ECTS hat WP3 Information Retrieval?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Zugeordnete Modulteile,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Zugeordnete Modulteile,1,gefunden
Mehrsprachig n=18,BM25_domain,m02_en,numerical,How many ECTS credits does WP3 Information Retrieval have?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Zugeordnete Modulteile,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Zugeordnete Modulteile,1,gefunden
Mehrsprachig n=18,BM25_domain,m02_tr,numerical,WP3 Information Retrieval kaç ECTS kredisi?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Zugeordnete Modulteile,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Zugeordnete Modulteile,1,gefunden
Mehrsprachig n=18,BM25_domain,m03_de,responsible_person,Wer ist modulverantwortlich für P10 Statistische Methoden in der Sprachverarbeitung?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P10,Modulverantwortliche/r,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P10,Modulverantwortliche/r,1,gefunden
Mehrsprachig n=18,BM25_domain,m03_en,responsible_person,Who is responsible for P10 Statistical Methods in Natural Language Processing?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P10,Modulverantwortliche/r,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P10,Unterrichtssprache,,nicht gefunden
Mehrsprachig n=18,BM25_domain,m03_tr,responsible_person,P10 Statistische Methoden in der Sprachverarbeitung modülünden kim sorumludur?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P10,Modulverantwortliche/r,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P10,Modulverantwortliche/r,1,gefunden
Mehrsprachig n=18,BM25_domain,m04_de,semester,In welchem Semester wird P8 empfohlen?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P8,Zeitpunkt im Studienverlauf,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P8,Zeitpunkt im Studienverlauf,1,gefunden
Mehrsprachig n=18,BM25_domain,m04_en,semester,In which semester is P8 recommended?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P8,Zeitpunkt im Studienverlauf,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P8,Zeitpunkt im Studienverlauf,1,gefunden
Mehrsprachig n=18,BM25_domain,m04_tr,semester,P8 hangi dönemde öneriliyor?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P8,Zeitpunkt im Studienverlauf,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P8,Zeitpunkt im Studienverlauf,1,gefunden
Mehrsprachig n=18,BM25_domain,m05_de,content,Welche Inhalte behandelt P11 Informationsextraktion?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P11,Inhalte,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P12,Inhalte,3,gefunden
Mehrsprachig n=18,BM25_domain,m05_en,content,What topics are covered in P11 Information Extraction?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P11,Inhalte,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Inhalte,3,gefunden
Mehrsprachig n=18,BM25_domain,m05_tr,content,P11 Informationsextraktion hangi konuları içeriyor?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P11,Inhalte,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P12,Inhalte,2,gefunden
